video_name,offset
ch05_20181206131545,1
ch05_20181206145727,0
ch05_20181206152544,0
ch05_20181207101912,0
ch05_20181207114402,0
ch05_20181207121220,1
ch05_20181207124037,0
ch05_20181207140528,1
ch05_20181207143343,1
ch05_20181207150200,1
ch05_20181207153017,-1
ch05_20181207155833,0
ch05_20190103152741,1
ch05_20190103155558,0
ch05_20190103162416,1
ch05_20190103165231,1
ch05_20190104073719,0
ch05_20190104093027,1
ch05_20190104095841,1
ch05_20190104102659,1
ch05_20190105084225,1
ch05_20190105110351,1
ch05_20190105113205,0
ch05_20190105120023,0
ch05_20190105142146,1
ch05_20190105145003,0
ch05_20190105151821,1
ch05_20190328123747,0
ch05_20190328130605,1
ch05_20190328133422,0
ch05_20190328145913,1
ch05_20190328152730,1
ch05_20190328155547,0
ch05_20190328162405,1
ch05_20190329072446,1
ch05_20190329091751,1
ch05_20190329094609,1
ch05_20190329101424,1
ch05_20190329113919,1
ch05_20190329120737,0
ch05_20190329123551,1
ch05_20190329130409,1
ch06_20181102132122,1
ch06_20181102134937,0
ch06_20181102141755,1
ch06_20181102162931,1
ch06_20181102165747,0
ch06_20181102172605,1
ch06_20181104114836,0
ch06_20181104121653,1
ch06_20181104124511,1
ch06_20181104131326,1
ch06_20181104134144,1
ch06_20181104160309,1
ch06_20181104163124,1
ch06_20181104204552,1
ch06_20181104211407,0
ch06_20181206123510,1
ch06_20181206130328,0
ch06_20181206144510,0
ch06_20181206151327,0
ch06_20181206154142,1
ch06_20181207102022,1
ch06_20181207114512,0
ch06_20181207121327,0
ch06_20181207124143,1
ch06_20181207140633,1
ch06_20181207143448,1
ch06_20181207150304,-1
ch06_20181207153120,1
ch06_20181207155938,1
ch06_20190103154006,1
ch06_20190103160823,1
ch06_20190103163641,1
ch06_20190104073658,0
ch06_20190104093009,1
ch06_20190104095826,0
ch06_20190104102644,1
ch06_20190105084618,1
ch06_20190105110740,1
ch06_20190105113558,1
ch06_20190105120413,1
ch06_20190105142533,0
ch06_20190105145351,1
ch06_20190105152208,0
ch06_20190328123927,0
ch06_20190328130742,1
ch06_20190328133600,1
ch06_20190328150050,1
ch06_20190328152908,1
ch06_20190328155725,1
ch06_20190328162540,1
ch06_20190329072856,0
ch06_20190329092204,1
ch06_20190329095019,1
ch06_20190329101837,1
ch06_20190329114329,0
ch06_20190329121144,0
ch06_20190329124001,1
ch06_20190329130817,1
ch07_20181102163316,1
ch07_20181102170132,1
ch07_20181102172946,0
ch07_20181102180000,3
ch07_20181102182800,1
ch07_20181103115700,1
ch07_20181103120140,1
ch07_20181103122517,1
ch07_20181103125335,1
ch07_20181103141825,0
ch07_20181103144642,1
ch07_20181103163947,0
ch07_20181103170805,1
ch07_20181206150117,1
ch07_20181206152932,0
ch07_20181208112408,0
ch07_20181208131713,0
ch07_20181208134530,0
ch07_20181208141346,1
ch07_20181208163509,1
ch07_20181208170323,1
ch07_20181208173141,1
ch07_20181208192451,1
ch07_20190103121323,0
ch07_20190103124140,0
ch07_20190103130955,0
ch07_20190103153120,1
ch07_20190103155936,1
ch07_20190103162753,-1
ch07_20190104073939,1
ch07_20190104093244,1
ch07_20190104100101,0
ch07_20190104102919,1
ch07_20190104122224,1
ch07_20190104125041,0
ch07_20190104144347,1
ch07_20190104151205,1
ch07_20190328152500,1
ch07_20190328155317,0
ch07_20190328162135,1
ch07_20190328164952,0
ch07_20190328171810,1
ch07_20190330083108,0
ch07_20190330085926,1
ch07_20190330102414,1
ch07_20190330105232,1
ch07_20190330112046,1
ch07_20190330114903,1
ch07_20190330121721,1
ch07_20190330124538,0
ch07_20190330131356,1
ch08_20181102180000,4
ch08_20190328152540,1
ch08_20190328155357,1
ch08_20190328162215,1
ch08_20190328165032,1
ch08_20190328171850,1
ch08_20190330084246,1
ch08_20190330103554,1
ch08_20190330110411,0
ch08_20190330125718,1
